content,score,clean
"kalo lagi buru buru terus pilih fitur hemat susah banget heran, ngapain ngadain fitur hemat klo susah",3,kalo lagi buru buru terus pilih fitur hemat susah banget heran ngapain ngadain fitur hemat klo susah
"kata gua, lu jangan ngambil untung ketinggian anjoy, driver kagak ada yang mau ambil orderan gua",1,kata gua lu jangan ngambil untung ketinggian anjoy driver kagak ada yang mau ambil orderan gua
aplikasinya sangat membantu..,5,aplikasinya sangat membantu
sejauh ini dapat pelayanan ok dr para drivernya 👍🏻,5,sejauh ini dapat pelayanan ok dr para drivernya 
apk bego,1,apk bego
"Mau ke rumah sakit ujan"" nyari mobil dpt yang jauh jauh ga ada yang Deket sama sekali, giliran sedang mencari kaga bisa di cancel harus nunggu lama banget baru bisa muncul pilihan cancel, giliran cari motor sama bae alasan yang booking lagi rame sama kaya mobil, lagi knp sih",2,mau ke rumah sakit ujan nyari mobil dpt yang jauh jauh ga ada yang deket sama sekali giliran sedang mencari kaga bisa di cancel harus nunggu lama banget baru bisa muncul pilihan cancel giliran cari motor sama bae alasan yang booking lagi rame sama kaya mobil lagi knp sih
"selama ini sih ga ad kendala selama naik apk gojek , tapi kok tiap naik dri great western slalu driver nya tidak jelas trus yaa.tlong donk driver yg suka mangkal2 dket2 great western cb deh kalau ga niat ngambil ord ran ga ush di ambil..dh di ambil ,kita nnggu lama stngah jam lbih trus di chat jga ga ad respon tba2 di cansell..bener2 ga ad pikirannya bgt..kalau ga mau ambil ya knpa ambil orderan..hrusnya ga ush d nyalain tuh apk ..ga skli 2x tp sring bgt bgni kalau di great western",2,selama ini sih ga ad kendala selama naik apk gojek  tapi kok tiap naik dri great western slalu driver nya tidak jelas trus yaatlong donk driver yg suka mangkal dket great western cb deh kalau ga niat ngambil ord ran ga ush di ambildh di ambil kita nnggu lama stngah jam lbih trus di chat jga ga ad respon tba di cansellbener ga ad pikirannya bgtkalau ga mau ambil ya knpa ambil orderanhrusnya ga ush d nyalain tuh apk ga skli x tp sring bgt bgni kalau di great western
"hari ini tgl 4 Maret 2026 gojek cepat, komunikatif 👍👍👍",5,hari ini tgl  maret  gojek cepat komunikatif 
perbaiki lgi jelek bngt g bsa msk g bsa bikin akun mertivikasi salah trss pdhl udh bener sesuai panduan makin jlk aka apk,1,perbaiki lgi jelek bngt g bsa msk g bsa bikin akun mertivikasi salah trss pdhl udh bener sesuai panduan makin jlk aka apk
cara batalin pemesanan gojek gimana sih. masa bru buka lngsung mesen,2,cara batalin pemesanan gojek gimana sih masa bru buka lngsung mesen
sangat menyenangkan dan memberi harapan baru,5,sangat menyenangkan dan memberi harapan baru
tarif ga ngotak,1,tarif ga ngotak
Pilih Goride Hemat... Kesannya Nyiksa Drivernya juga Nyiksa Pihakk Pemesan... Buset kasian tuh driver GoHemat. Udah Titik Lokasi Selalu Jauuuh..,2,pilih goride hemat kesannya nyiksa drivernya juga nyiksa pihakk pemesan buset kasian tuh driver gohemat udah titik lokasi selalu jauuuh
kebanyakan error,3,kebanyakan error
sarana pemesanan sangat praktis dan cepat,5,sarana pemesanan sangat praktis dan cepat
Gojek Ramah dan Aman,5,gojek ramah dan aman
"mau bayar qris pakek aplikasi gojek pas tadi abis makan sahur, loadingnya Llllllaaamaaaaaaaa bangetttt padahal internet lancar, akhirnya saya jadi ngutang sama pengelola warteg😡",1,mau bayar qris pakek aplikasi gojek pas tadi abis makan sahur loadingnya llllllaaamaaaaaaaa bangetttt padahal internet lancar akhirnya saya jadi ngutang sama pengelola warteg
KEMBALIKAN FITUR BANTUAN CHAT DENGAN CS YANG BUKAN BOT. LAPOR LEWAT EMAIL TIDAK BISA. LEWAT APLIKASI JUGA TIDAK ADA PILIHAN.,1,kembalikan fitur bantuan chat dengan cs yang bukan bot lapor lewat email tidak bisa lewat aplikasi juga tidak ada pilihan
"driver ramah,nyaman di perjalanan,terima kasih..",5,driver ramahnyaman di perjalananterima kasih
saya sangat puas,4,saya sangat puas
"tolong dong segera berikan saya kode referral agar bisa mengajukan gopaylater, saya sudah lama menggunakan gojek/gopay untuk transaksi",4,tolong dong segera berikan saya kode referral agar bisa mengajukan gopaylater saya sudah lama menggunakan gojekgopay untuk transaksi
Banyak membantu,5,banyak membantu
Mantap...,1,mantap
mntav,5,mntav
"ak suka bgt gojek, gopay itu terpercaya asli..ga pernah kuatir transaksi dana pasti aman.thank you y",5,ak suka bgt gojek gopay itu terpercaya asliga pernah kuatir transaksi dana pasti amanthank you y
"penanganan kendala yang sangat buruk, tidak ada solusi untuk lupa gmail dan tetap harus verifikasi kode otp dengan gmail",1,penanganan kendala yang sangat buruk tidak ada solusi untuk lupa gmail dan tetap harus verifikasi kode otp dengan gmail
sngt berguna. dan inovasi bagus,5,sngt berguna dan inovasi bagus
gk bisa masuk,1,gk bisa masuk
pesan mobil payah dpt tolong lh di prioritas kn agek,1,pesan mobil payah dpt tolong lh di prioritas kn agek
semoga semakin lebih baik lagi mensejahterakan para driver,5,semoga semakin lebih baik lagi mensejahterakan para driver
"aplikasi ky taeee,,sering bgt gangguan dan lemot",1,aplikasi ky taeeesering bgt gangguan dan lemot
ngebantu banget sih,5,ngebantu banget sih
"waktu penjemputan tepat waktu, harga terjangkau,. keamanan berkendara,.",5,waktu penjemputan tepat waktu harga terjangkau keamanan berkendara
bagus juga cuma Aku stress ngak cutup ruang aplikasi. 💄💄,5,bagus juga cuma aku stress ngak cutup ruang aplikasi 
"Gofood nya sekarang ga banget.... maaf aja, beli pesanan dari jam 8 malem sampe set 10.. Tokonya udh hampir 1 menit mau tutup belum di konfirmasi sampe² belum ada driver juga. 🧍🏻‍♀️🙍🏻‍♀️",2,gofood nya sekarang ga banget maaf aja beli pesanan dari jam  malem sampe set  tokonya udh hampir  menit mau tutup belum di konfirmasi sampe belum ada driver juga 
seneng aja dari pada yang sebelah,5,seneng aja dari pada yang sebelah
driver nya pada aleman kebanyakan cancle,1,driver nya pada aleman kebanyakan cancle
"kasih promo dan ongkir hemat ke konsumen tapi dananya ngambil dari mangkas ongkir mitranya dengan tidak wajar , seperti jarak pengataran konsumen k tujuan 5km tapi driver dibayar 9rb padahal jarak driver ke lokasi penjemputan penumpang 2 smpai 4km gimna ga tekor bensin.",1,kasih promo dan ongkir hemat ke konsumen tapi dananya ngambil dari mangkas ongkir mitranya dengan tidak wajar  seperti jarak pengataran konsumen k tujuan km tapi driver dibayar rb padahal jarak driver ke lokasi penjemputan penumpang  smpai km gimna ga tekor bensin
"Mudah penggunaan aplikasi nya, sangat memudahkan",5,mudah penggunaan aplikasi nya sangat memudahkan
saldo tiba tiba hilang dan respon admin sangat buruk,1,saldo tiba tiba hilang dan respon admin sangat buruk
bangga dgn anda,5,bangga dgn anda
"sopir nya baik,biar lama nunggu tapi orang nya baik🙏🙏",5,sopir nya baikbiar lama nunggu tapi orang nya baik
memudahkan dlm memesan makanan & kendaraan,4,memudahkan dlm memesan makanan  kendaraan
"drivernya banyak yg ga bertanggung jawab, orderan masuk tp ga diambil sampai akhirnya dicancel resto",1,drivernya banyak yg ga bertanggung jawab orderan masuk tp ga diambil sampai akhirnya dicancel resto
lemot bgt skrg klo pesen goride,3,lemot bgt skrg klo pesen goride
"Kita pesan makanan dikasih estimasi waktu 56-66 menit untuk mendapatkan driver. Estimasi yang diberikan selama itu, sangat tidak wajar. Infonya apabila dalam waktu tersebut belum dpt driver bisa dibatalin, tapi ga wajar sekali bila menunggu lama ujung²nya tetap dibatalin. Lebih baik dari awal sudah ada fitur untuk membatalkan manual (mengajukan pembatalan). Dan anehnya di akun orang lain dapat driver pdhl lebih lama akun saya yg pesan.",1,kita pesan makanan dikasih estimasi waktu  menit untuk mendapatkan driver estimasi yang diberikan selama itu sangat tidak wajar infonya apabila dalam waktu tersebut belum dpt driver bisa dibatalin tapi ga wajar sekali bila menunggu lama ujungnya tetap dibatalin lebih baik dari awal sudah ada fitur untuk membatalkan manual mengajukan pembatalan dan anehnya di akun orang lain dapat driver pdhl lebih lama akun saya yg pesan
sangat kecewa sekali barang statusnya sudah selesai di kirim tapi sampai saat ini barang belum sampai di tangan saya,1,sangat kecewa sekali barang statusnya sudah selesai di kirim tapi sampai saat ini barang belum sampai di tangan saya
update sistem menjadikan sulit penggunaan nya. sulit dapat driver,1,update sistem menjadikan sulit penggunaan nya sulit dapat driver
"tb2 ke logout sendiri, pas mau login lg susah bgt, muncul kendala teknis terus menerus.. payah lama lama",1,tb ke logout sendiri pas mau login lg susah bgt muncul kendala teknis terus menerus payah lama lama
selalu di cancel,1,selalu di cancel
Sering bgt drivernya cancel orderan tanpa pemberitahuan/konfirmasi,3,sering bgt drivernya cancel orderan tanpa pemberitahuankonfirmasi
chat nya sudah template semua dan kita tidak dikasih kebebasan untuk menuliskan keluhan yang terjadi. masak keluhan pakai template jawaban,1,chat nya sudah template semua dan kita tidak dikasih kebebasan untuk menuliskan keluhan yang terjadi masak keluhan pakai template jawaban
aman dan lebih enak naik transformasi umum murah dan terjangkau,5,aman dan lebih enak naik transformasi umum murah dan terjangkau
"saya pesan gojek ketika hujan, padahal milih yang tertinggi, tapi sama sekali ndak ada yang ngambil, padahal tujuan saya dekat. Dan saya tergesa-gesa saat itu untuk acara penting, tapi malah ndak dapat gojek. Pengalaman yang parah. Mohon atensinya.",1,saya pesan gojek ketika hujan padahal milih yang tertinggi tapi sama sekali ndak ada yang ngambil padahal tujuan saya dekat dan saya tergesagesa saat itu untuk acara penting tapi malah ndak dapat gojek pengalaman yang parah mohon atensinya
mencari driver terlalu lama kasihan yg Uda nunggu lama tapi gak dapet²,3,mencari driver terlalu lama kasihan yg uda nunggu lama tapi gak dapet
dari dulu saya selalu percaya dengan gojek..gojek is the best,5,dari dulu saya selalu percaya dengan gojekgojek is the best
sangat membantu.,5,sangat membantu
ga dapat dapat drivernya oon lah mana gua mau buka,1,ga dapat dapat drivernya oon lah mana gua mau buka
Cari Goocar susah amat.,1,cari goocar susah amat
"Sejauh ini dapet pengemudi yang baik dan ramah bangetttt, semoga dipertahankan ya ojol yg baik dan ramah itu🫶🏻",5,sejauh ini dapet pengemudi yang baik dan ramah bangetttt semoga dipertahankan ya ojol yg baik dan ramah itu
transaksi pakai gopay later senilai 13rb dan 2 hari telat bayar ditagih menjadi 63rb denda 2 hari 50rb dgn nominal pembelian 13rb seram ya,1,transaksi pakai gopay later senilai rb dan  hari telat bayar ditagih menjadi rb denda  hari rb dgn nominal pembelian rb seram ya
penjemputanya lama alasan ngk sesuai maap,5,penjemputanya lama alasan ngk sesuai maap
tambah ruwet,1,tambah ruwet
aplikasi yg tebaik sepanjang tahun,5,aplikasi yg tebaik sepanjang tahun
"untuk para pelanggan,yang order ke mall atau tempat pembelajaran yang ada parkiran nya,tolong ingat ada parkir,kasian driver,sdh ngambil order jauh, ongkir 5000-6000,di potong parkir 2000,sekarang Ongkir jarak 1 sampai 5 km 5000 perak",3,untuk para pelangganyang order ke mall atau tempat pembelajaran yang ada parkiran nyatolong ingat ada parkirkasian driversdh ngambil order jauh ongkir di potong parkir sekarang ongkir jarak  sampai  km  perak
sangat cepat 👌👌👌,5,sangat cepat 
bagus sekaline,5,bagus sekaline
bagus banget pokoknya. walau promonya jarang,5,bagus banget pokoknya walau promonya jarang
selalu gojek menemani kemanapun dg rasa aman,5,selalu gojek menemani kemanapun dg rasa aman
"tidak worth it untuk transaksi ,bisa kena blokir permanen saldo ga bisa di ambil parah gojek",1,tidak worth it untuk transaksi bisa kena blokir permanen saldo ga bisa di ambil parah gojek
perlu diseleksi kembali untuk drivernya,1,perlu diseleksi kembali untuk drivernya
driver membatalkan transaksi padahal titik jemput sudah dekat CS Robot tidak ada solusi,1,driver membatalkan transaksi padahal titik jemput sudah dekat cs robot tidak ada solusi
NGESELIN ... DRIVER CUMA ACC ACC AJA TAPI DI DIEMIN BUAT AKHIRNYA KITA BATALIN. TOLONG LAH GOJEK JANGAN BUAT FITUR NYUSAHIN DRIVER. JD PADA NAKAL DRIVERNYA,1,ngeselin  driver cuma acc acc aja tapi di diemin buat akhirnya kita batalin tolong lah gojek jangan buat fitur nyusahin driver jd pada nakal drivernya
ok dan sangat membantu,5,ok dan sangat membantu
"ini saya mau beli paket kuota di aplikasi kartu perdana saya, terus saya mau bayar masa saya diarahkan sama aplikasi kartu perdananya harus download gopay, emang gak bisa satu aplikasi aja gitu? contohnya di gojek kan ada gopay juga kan, yaelah ribet amat sih kalian!",1,ini saya mau beli paket kuota di aplikasi kartu perdana saya terus saya mau bayar masa saya diarahkan sama aplikasi kartu perdananya harus download gopay emang gak bisa satu aplikasi aja gitu contohnya di gojek kan ada gopay juga kan yaelah ribet amat sih kalian
best experience with Gojek,5,best experience with gojek
walau jarang pakai tapi sgt butuh kalo pas bepergian,5,walau jarang pakai tapi sgt butuh kalo pas bepergian
makasih drivernya ramah dan cepat Sampek barang aman,5,makasih drivernya ramah dan cepat sampek barang aman
"driver gofood itu kenapa lama lama bgt ya, pdhal estimasi nya 10 menit bisa sampai 1 jam. gak kaya shopee. heran bgt knpa pada gitu sih",1,driver gofood itu kenapa lama lama bgt ya pdhal estimasi nya  menit bisa sampai  jam gak kaya shopee heran bgt knpa pada gitu sih
manyap,5,manyap
Gojek is the best,5,gojek is the best
oke bngt,5,oke bngt
"Gojek mantap banar dari dulu,tapi ada beberapa note yg pengen ditambahin:kalo bisa Adain lagi Goride Hemat,banyakin promo khusus tunai,Ongkir Goride dikurangin,terus kualitas telepon sih best tapi kalo bisa ditambahkan Spatial audio atau Dobly Atmos 360°,thanks you min🔥😭",5,gojek mantap banar dari dulutapi ada beberapa note yg pengen ditambahinkalo bisa adain lagi goride hematbanyakin promo khusus tunaiongkir goride dikuranginterus kualitas telepon sih best tapi kalo bisa ditambahkan spatial audio atau dobly atmos thanks you min
"aplikasi yg simpel, gak ribet dan fungsional..",5,aplikasi yg simpel gak ribet dan fungsional
p pO p,5,p po p
Aplikasi sangat berguna sudah tanpa ribet,5,aplikasi sangat berguna sudah tanpa ribet
harga murah murah sering diskon juga mantabs kelas king👑👍👍👍👍,5,harga murah murah sering diskon juga mantabs kelas king
bagus aplikasi nya semoga banyak terus promo,5,bagus aplikasi nya semoga banyak terus promo
Kasian mamang driver'nya. anter Makanan sekali 3. Cuma di tambahin 2'rb setelah anter makanan yg ke 1.full yg ke 2/ ke 3. cuma di tambahin 2'rb. 👎👎👎 yg mesen bukan dikit.,1,kasian mamang drivernya anter makanan sekali  cuma di tambahin rb setelah anter makanan yg ke full yg ke  ke  cuma di tambahin rb  yg mesen bukan dikit
sangat mudah digunakan dan sll ada promo,5,sangat mudah digunakan dan sll ada promo
tepat sampai tujuan,5,tepat sampai tujuan
mesan makanan slalu lama dh naik asam lambung ngk sampai 2.....mending shopee foodd cpat,1,mesan makanan slalu lama dh naik asam lambung ngk sampai mending shopee foodd cpat
apknya bagus,5,apknya bagus
fasilitas yang disediakan aplikasi sangat beragam dan bikin pelanggan senang dan sangat puas terhadap pelayanan yang diberikan.,5,fasilitas yang disediakan aplikasi sangat beragam dan bikin pelanggan senang dan sangat puas terhadap pelayanan yang diberikan
pesen paket dari tokopedia via jasa kirim gosen pake same day dari jam 10 pagi kmrin ampe skrang belum keambil .nyesel tau gtu pake sameday anteraja jelas traking nya ini ga diambil ambil.,1,pesen paket dari tokopedia via jasa kirim gosen pake same day dari jam  pagi kmrin ampe skrang belum keambil nyesel tau gtu pake sameday anteraja jelas traking nya ini ga diambil ambil
ini app eror malah ke pilih 2 drivernya. gak suka gw,1,ini app eror malah ke pilih  drivernya gak suka gw
"trimakasih Abang gojek , semangat kerja y ya",5,trimakasih abang gojek  semangat kerja y ya
"ntah knp akhir akhir ini utk dapet driver lama bangett, even da pilih yg prioritas,, khususnya di jakarta. Driver jg bnyk yg ogah ogahan kayak udh di terima trs di cancel lgi gtu trs.",2,ntah knp akhir akhir ini utk dapet driver lama bangett even da pilih yg prioritas khususnya di jakarta driver jg bnyk yg ogah ogahan kayak udh di terima trs di cancel lgi gtu trs
semakin mengecewakan... banyak kejadian ga enak pake gojek 😪,1,semakin mengecewakan banyak kejadian ga enak pake gojek 
Aplikasi sangat lh buruk tolong dong yg mempunyai aplikasi ini bikin orang seneng dikit Napa aplikasi sangat buruk seburuk-buruk ny,1,aplikasi sangat lh buruk tolong dong yg mempunyai aplikasi ini bikin orang seneng dikit napa aplikasi sangat buruk seburukburuk ny
kenapa go pulsanya eror terus,1,kenapa go pulsanya eror terus
dahlah,1,dahlah
coba dulu,5,coba dulu
lelet bet asli,3,lelet bet asli
bagus dan murah,5,bagus dan murah
pesan gofood tapi belum dapat driver customer disuruh menunggu pembatalan otomatis sekitar 45 mnt. wow.. perut tidak dapat menunggu bung !,2,pesan gofood tapi belum dapat driver customer disuruh menunggu pembatalan otomatis sekitar  mnt wow perut tidak dapat menunggu bung 
gara2 kamu slalu ngasih lokasi driver yang kejauhan saya jadi kehilangan kerja,1,gara kamu slalu ngasih lokasi driver yang kejauhan saya jadi kehilangan kerja
"kacau bgt kalo abis ujan,gada driver yg mau ambil ordernya,dpt nyaa malah yg jauh kasian terlalu jauh",3,kacau bgt kalo abis ujangada driver yg mau ambil ordernyadpt nyaa malah yg jauh kasian terlalu jauh
susah banget cari driver,2,susah banget cari driver
tarifnya jg bagus dan lay fast,5,tarifnya jg bagus dan lay fast
oke bagus,5,oke bagus
aplikasi biadab jahat jahanam. Tiap hujan pasti dikasihnya driver yg diatas 1km,1,aplikasi biadab jahat jahanam tiap hujan pasti dikasihnya driver yg diatas km
"sebenarnya sebelum ini aplikasi sangat bagus. namun kenapa belakangan ini banyak keanehan khususnya di latanan gosend seperti : alamat rumah tidak terdeteksi malah selalu mengambil alamat lain yang berbeda, walau sudah pilih peta. kemudian kl memilih lokasi juga sulit. ketika kita back, tidak segera kembali ke layar sebelumnya, hanya bertanya simpan draft atau tdk usah. ketika dipilih, tidak kembali, sehingga kesulitan mengatur alamat bila ada perubahan",2,sebenarnya sebelum ini aplikasi sangat bagus namun kenapa belakangan ini banyak keanehan khususnya di latanan gosend seperti  alamat rumah tidak terdeteksi malah selalu mengambil alamat lain yang berbeda walau sudah pilih peta kemudian kl memilih lokasi juga sulit ketika kita back tidak segera kembali ke layar sebelumnya hanya bertanya simpan draft atau tdk usah ketika dipilih tidak kembali sehingga kesulitan mengatur alamat bila ada perubahan
gojek binjai ramah ramah,5,gojek binjai ramah ramah
masa nyari driver aja bisa sampe 10 menit,2,masa nyari driver aja bisa sampe  menit
"bayar later lupa, saldo padahal ada udah di topup, telat 1 hari dendanya 50. belanja di atas 100 sedikit dendanya gila2an. kalo ga karna lupa mencet bayar abis topup udah gua lunasin itu. kapok2.",1,bayar later lupa saldo padahal ada udah di topup telat  hari dendanya  belanja di atas  sedikit dendanya gilaan kalo ga karna lupa mencet bayar abis topup udah gua lunasin itu kapok
"setiap mau pergi dikasih driver yang jauh, selalu membuat terlambat",1,setiap mau pergi dikasih driver yang jauh selalu membuat terlambat
Kalo ga mau di ambil tinggal di cancel si gausah sampe buang² waktu orang buat nunggu tapi ujung² nya malah ga jalan .,1,kalo ga mau di ambil tinggal di cancel si gausah sampe buang waktu orang buat nunggu tapi ujung nya malah ga jalan 
"aplikasi cacat, lama bat nyari gojek, ngomong dri kapan nyari ampe kapan, batesin aja tuh mendingan yang ngegojek klo bgtu, di tunggu malah ga jelass, dinaikin harga malah aneh, ett di butuhin malah bgtu",5,aplikasi cacat lama bat nyari gojek ngomong dri kapan nyari ampe kapan batesin aja tuh mendingan yang ngegojek klo bgtu di tunggu malah ga jelass dinaikin harga malah aneh ett di butuhin malah bgtu
"tiap mau pesen goride selalu lama dan jauh dapet drivernya,ntah mungkin jaraknya deket karna ongkos gasesuai yg diaplikasi atau aplikasinya yg makin lama makin teler bukan nambah bagus hadeh..",1,tiap mau pesen goride selalu lama dan jauh dapet drivernyantah mungkin jaraknya deket karna ongkos gasesuai yg diaplikasi atau aplikasinya yg makin lama makin teler bukan nambah bagus hadeh
"kalo order gojek selalu dapet driver yang jauh mulu, jadi di cancel lalu jadi telat pergi ke lokasi yang dituju😢",4,kalo order gojek selalu dapet driver yang jauh mulu jadi di cancel lalu jadi telat pergi ke lokasi yang dituju
"gojek sekarang sering banget bekuin akun, padahal ngga ngapa ngapain juga",4,gojek sekarang sering banget bekuin akun padahal ngga ngapa ngapain juga
memudah kan transportasi,5,memudah kan transportasi
"coin aku sering tidak masuk, tolong perbaiki gopay/gojeknya",3,coin aku sering tidak masuk tolong perbaiki gopaygojeknya
aplikasi merugikan konsumen,1,aplikasi merugikan konsumen
rata rata supir mobil atau motornya kaya g butuh penumpang semena mena,1,rata rata supir mobil atau motornya kaya g butuh penumpang semena mena
jadi udah ga begitu menarik coin nya membosankan,1,jadi udah ga begitu menarik coin nya membosankan
"KECEWA BERAT sebagai langganan, mesen Express dijanjiin Jam 04.16 sampe, jam 04.19 belum jadi makanannya dan belum pengantaran? udah hampir 1 JAM, TELAT SAHUR jadinya, kalau emang gabisa express ngapain ada fitur express? Tau gitu mending order pengantaran biasa aja tadi.",1,kecewa berat sebagai langganan mesen express dijanjiin jam  sampe jam  belum jadi makanannya dan belum pengantaran udah hampir  jam telat sahur jadinya kalau emang gabisa express ngapain ada fitur express tau gitu mending order pengantaran biasa aja tadi
MAKINPARAH GOJEK..ONGKOS KIRIM MAKANAN JARAK 3 KM BIAYA RP 23RB BELUM LAGI ONGKOS LAIN...DIAPLIKASI LAIN ONGKOS KIRIM HANYA RP 2000!!! MAU BANGKRUT ATAU GIMANA GA NGERTI..YANG PASTI DILUAR AKAL BIAYA ONGKIR,1,makinparah gojekongkos kirim makanan jarak  km biaya rp rb belum lagi ongkos laindiaplikasi lain ongkos kirim hanya rp  mau bangkrut atau gimana ga ngertiyang pasti diluar akal biaya ongkir
"Saya pesan makanan utk sahur, restoran tidak menyiapkan pesanan sampe 1 jam tidak dianter2, tidak ada menu penilaian ke resto nakal seperti itu.",1,saya pesan makanan utk sahur restoran tidak menyiapkan pesanan sampe  jam tidak dianter tidak ada menu penilaian ke resto nakal seperti itu
Ok terimakasi,5,ok terimakasi
kembalikan lagi bonus buat driver 80rrb ..Biar semakin semngat driver y,5,kembalikan lagi bonus buat driver rrb biar semakin semngat driver y
suka gojek dr dlu,5,suka gojek dr dlu
sangat membantu 👍🏻,5,sangat membantu 
riwayat top up masuk. tapi saldonya gak masuk.. 😫😭😒,1,riwayat top up masuk tapi saldonya gak masuk 
saldo saya sampe sekarang hilang parah gak tanggung jawab cs nya setelah ditanyakan malah cs gak bales lagi bilang kalo mau bangkrut,1,saldo saya sampe sekarang hilang parah gak tanggung jawab cs nya setelah ditanyakan malah cs gak bales lagi bilang kalo mau bangkrut
"gofood, kenapa ga bisa chat resto? knp hrs klo ada masala di pesanan baru bisa di chat? ini nyusahin klo salah2 input pesanan dan ingin edit ulang, tlol.",1,gofood kenapa ga bisa chat resto knp hrs klo ada masala di pesanan baru bisa di chat ini nyusahin klo salah input pesanan dan ingin edit ulang tlol
"aplikasi bagus, sangat bagus cuma lebih dan lebih lagi perhatian sama para drivernya",5,aplikasi bagus sangat bagus cuma lebih dan lebih lagi perhatian sama para drivernya
Telp nya susah di pencet,5,telp nya susah di pencet
"mantap dan terlengkap aplikasinya,rekomen lah pokok nya",5,mantap dan terlengkap aplikasinyarekomen lah pokok nya
pembayaran nya gak ada via dana,1,pembayaran nya gak ada via dana
Dendi Ahmadl,5,dendi ahmadl
"saya ga ada pesan gofood, tiba2 yg dikeranjang terakhir saya kecheck out. parah banget gojek. saya rugi banget2.",1,saya ga ada pesan gofood tiba yg dikeranjang terakhir saya kecheck out parah banget gojek saya rugi banget
"Aplikasinya kurang normal. Kurang mampu melayani masyarakat kecil. gopaylaternya gx fungsi! Sdh 10 tahun lbih gx fungsi! Aplikasi ini tdk saya gunakan, masih banyak aplikasi yg bisa melayani masyarakat.",1,aplikasinya kurang normal kurang mampu melayani masyarakat kecil gopaylaternya gx fungsi sdh  tahun lbih gx fungsi aplikasi ini tdk saya gunakan masih banyak aplikasi yg bisa melayani masyarakat
tolong untuk para driver nya mempunyai kembalian agar tidak merepotkan pembeli,3,tolong untuk para driver nya mempunyai kembalian agar tidak merepotkan pembeli
baguuss,5,baguuss
"saran aja, bersaing sih bersaing, tapi kalau buat argo itu jangan terlalu murah, kasian driver nya, kalo argo murah di tanggung sama gojek ya gak masalah, tapi ini driver yg nanggung, sehingga pelayanan driver pun berkurang,",2,saran aja bersaing sih bersaing tapi kalau buat argo itu jangan terlalu murah kasian driver nya kalo argo murah di tanggung sama gojek ya gak masalah tapi ini driver yg nanggung sehingga pelayanan driver pun berkurang
mantap sukses selalu,5,mantap sukses selalu
driver Rapi dan bersih motor yang di tumpangi nyaman di perjalanan.,5,driver rapi dan bersih motor yang di tumpangi nyaman di perjalanan
selalu muncul iklan di hp yg sangat menggangu,1,selalu muncul iklan di hp yg sangat menggangu
drivernya klau hujan GK mau order GK membantu bdhl klau hujan sngat dibutuhkan,3,drivernya klau hujan gk mau order gk membantu bdhl klau hujan sngat dibutuhkan
sangat membantu dan memuaskan,5,sangat membantu dan memuaskan
ngga ada fitur hapus chat. jadi ketika typo nggak bisa diedit ataupun dihapus🤦‍♂️ perbaiki lagi deh sistemnya,1,ngga ada fitur hapus chat jadi ketika typo nggak bisa diedit ataupun dihapus perbaiki lagi deh sistemnya
"aplikasinya makin lama makin ribet. driverpun banyak yang belagu tidak mau ambil orderan. saya pesan gofood setiap kali harus tunggu 1 jam dan itupun ujung ujungnya cancel karena ga dapat driver. solusinya dong gimana? jadi nyusahin customer kalau begini. aplikasi harusnya lebih efisien ini malah sama sekali tidak efisien!! kejadian bukan sekali dua kali, tapi berkali kali selalu begini padahal jarak restoran dan tujuan sangat dekat",2,aplikasinya makin lama makin ribet driverpun banyak yang belagu tidak mau ambil orderan saya pesan gofood setiap kali harus tunggu  jam dan itupun ujung ujungnya cancel karena ga dapat driver solusinya dong gimana jadi nyusahin customer kalau begini aplikasi harusnya lebih efisien ini malah sama sekali tidak efisien kejadian bukan sekali dua kali tapi berkali kali selalu begini padahal jarak restoran dan tujuan sangat dekat
sex,1,sex
buset mau naik haji kali ya mahal amat gofood nya,1,buset mau naik haji kali ya mahal amat gofood nya
responnya lama,1,responnya lama
suka karena ada banyan promo,5,suka karena ada banyan promo
"pesen ojeg online,kalau abis ujan harga naik. mana jemput jauh. udah ditungguin,malah dicancel. kalau ga niat narik,ga usah narik",1,pesen ojeg onlinekalau abis ujan harga naik mana jemput jauh udah ditungguinmalah dicancel kalau ga niat narikga usah narik
"driver pada kemana dah, males amat ambil orderan, udah kaya kali ya",3,driver pada kemana dah males amat ambil orderan udah kaya kali ya
bravo...,5,bravo
ga ah ga mau lagi,1,ga ah ga mau lagi
"sudah tau penjemputan jau ambil orderan food malah sudah deket 50m di batalkan sistem,tau dari tadi tak cancel aja,ambil orderan jau macet atau hujan malah di cancel sistem bodohnya IT gojek nih",1,sudah tau penjemputan jau ambil orderan food malah sudah deket m di batalkan sistemtau dari tadi tak cancel ajaambil orderan jau macet atau hujan malah di cancel sistem bodohnya it gojek nih
"saya cari driver 1 jam gak nemu nemu, katanya bakal dikasih voucher kalo 15 menit lebih ga nemu driver buktinya mana saya ga dapet apa apa",1,saya cari driver  jam gak nemu nemu katanya bakal dikasih voucher kalo  menit lebih ga nemu driver buktinya mana saya ga dapet apa apa
bintang NOLLL,1,bintang nolll
"tolong difix dong ini kalo hujan kalo mendunh dpt jauh terus capek nunggunya, kasian jg drivernya udh jauh jauh cape cape tp ga seberapa ongkosnya.",1,tolong difix dong ini kalo hujan kalo mendunh dpt jauh terus capek nunggunya kasian jg drivernya udh jauh jauh cape cape tp ga seberapa ongkosnya
aplikasi josjis,4,aplikasi josjis
